FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2014-2015,SARPY,770702000,ST BERNADETTE ELEMENTARY SCH,277,,,,
2014-2015,SARPY,770703000,DANIEL J GROSS CATHOLIC HIGH,407,,,,
2014-2015,SARPY,770705000,ST COLUMBKILLE ELEMENTARY SCH,501,22,14,36,7.19
2014-2015,SARPY,770706000,ST MATTHEW THE EVANGELIST SCH,136,,,16,11.76
2014-2015,SARPY,770713000,CORNERSTONE CHRISTIAN SCHOOLS,259,,,,
2014-2015,SAUNDERS,780001000,ASHLAND-GREENWOOD PUBLIC SCHS,851,207,76,283,33.25
2014-2015,SAUNDERS,780009000,YUTAN PUBLIC SCHOOLS,489,107,27,134,27.4
2014-2015,SAUNDERS,780039000,WAHOO PUBLIC SCHOOLS,1003,275,53,328,32.7
2014-2015,SAUNDERS,780072000,MEAD PUBLIC SCHOOLS,253,69,24,93,36.76
2014-2015,SAUNDERS,780107000,CEDAR BLUFFS PUBLIC SCHOOLS,287,97,41,138,48.08
2014-2015,SAUNDERS,780701000,ST WENCESLAUS ELEMENTARY SCH,303,13,13,26,8.58
2014-2015,SAUNDERS,780702000,BISHOP NEUMANN HIGH SCHOOL,294,11,10,21,7.14
2014-2015,SAUNDERS,780703000,ST JOHN NEPOMUCENE ELEM SCHOOL,51,,,10,19.61
2014-2015,SCOTTS BLUFF,790002000,MINATARE PUBLIC SCHOOLS,224,159,20,179,79.91
2014-2015,SCOTTS BLUFF,790011000,MORRILL PUBLIC SCHOOLS,348,154,41,195,56.03
2014-2015,SCOTTS BLUFF,790016000,GERING PUBLIC SCHOOLS,2057,732,213,945,45.94
2014-2015,SCOTTS BLUFF,790031000,MITCHELL PUBLIC SCHOOLS,698,197,96,293,41.98
2014-2015,SCOTTS BLUFF,790032000,SCOTTSBLUFF PUBLIC SCHOOLS,3293,1592,376,1968,59.76
2014-2015,SCOTTS BLUFF,790702000,ST AGNES ELEMENTARY SCHOOL,111,,,26,23.42
2014-2015,SCOTTS BLUFF,790703000,VALLEY VIEW SDA CHRISITAN SCH,8,,,,
2014-2015,SCOTTS BLUFF,790705000,COMMUNITY CHRISTIAN SCHOOLS,168,,,10,5.95
2014-2015,SEWARD,800005000,MILFORD PUBLIC SCHOOLS,695,112,27,139,20
2014-2015,SEWARD,800009000,SEWARD PUBLIC SCHOOLS,1423,221,124,345,24.24
2014-2015,SEWARD,800567000,CENTENNIAL PUBLIC SCHOOLS,440,128,52,180,40.91
2014-2015,SEWARD,800701000,ST JOHN LUTHERAN SCHOOL,165,,,24,14.55
2014-2015,SEWARD,800703000,OUR REDEEMER LUTHERAN ELEM SCH,54,,,,
2014-2015,SEWARD,800704000,ST PAUL'S LUTHERAN ELEM SCHOOL,104,12,15,27,25.96
2014-2015,SEWARD,800710000,ST VINCENT DEPAUL CATHOLIC SCH,71,,,,
2014-2015,SHERIDAN,810003000,HAY SPRINGS PUBLIC SCHOOLS,173,60,26,86,49.71
2014-2015,SHERIDAN,810010000,GORDON-RUSHVILLE PUBLIC SCHS,670,304,78,382,57.01
2014-2015,SHERMAN,820001000,LOUP CITY PUBLIC SCHOOLS,337,109,29,138,40.95
2014-2015,SHERMAN,820015000,LITCHFIELD PUBLIC SCHOOLS,107,36,26,62,57.94
2014-2015,SIOUX,830500000,SIOUX COUNTY PUBLIC SCHOOLS,99,11,12,23,23.23
2014-2015,STANTON,840003000,STANTON COMMUNITY SCHOOLS,465,144,56,200,43.01
2014-2015,THAYER,850060000,DESHLER PUBLIC SCHOOLS,255,56,25,81,31.76
2014-2015,THAYER,850070000,THAYER CENTRAL COMMUNITY SCHS,424,75,52,127,29.95
2014-2015,THAYER,852001000,BRUNING-DAVENPORT UNIFIED SYS,175,,,50,28.57
2014-2015,THOMAS,860001000,THEDFORD PUBLIC SCHOOLS,114,41,17,58,50.88
2014-2015,THURSTON,870001000,PENDER PUBLIC SCHOOLS,355,55,31,86,24.23
2014-2015,THURSTON,870013000,WALTHILL PUBLIC SCHOOLS,415,,,307,73.98
2014-2015,THURSTON,870016000,UMO N HO N NATION PUBLIC SCHS,498,444,20,464,93.17
2014-2015,THURSTON,870017000,WINNEBAGO PUBLIC SCHOOLS,582,411,61,472,81.1
2014-2015,THURSTON,870701000,ST AUGUSTINE ELEMENTARY SCH,109,63,22,85,77.98
2014-2015,VALLEY,880005000,ORD PUBLIC SCHOOLS,617,178,64,242,39.22
2014-2015,VALLEY,880021000,ARCADIA PUBLIC SCHOOLS,124,41,19,60,48.39
2014-2015,VALLEY,880701000,ST MARY'S ELEMENTARY SCHOOL,41,,,19,46.34
2014-2015,WASHINGTON,890001000,BLAIR COMMUNITY SCHOOLS,2329,420,141,561,24.09
2014-2015,WASHINGTON,890003000,FORT CALHOUN COMMUNITY SCHS,612,75,36,111,18.14
2014-2015,WASHINGTON,890024000,ARLINGTON PUBLIC SCHOOLS,590,69,47,116,19.66
2014-2015,WASHINGTON,890701000,ST PAUL'S LUTHERAN ELEM SCHOOL,75,,,,
2014-2015,WASHINGTON,890702000,IMMANUEL LUTHERAN ELEM SCHOOL,7,,,,
2014-2015,WAYNE,900017000,WAYNE COMMUNITY SCHOOLS,886,213,92,305,34.42
2014-2015,WAYNE,900560000,WAKEFIELD PUBLIC SCHOOLS,450,180,50,230,51.11
2014-2015,WAYNE,900595000,WINSIDE PUBLIC SCHOOLS,213,27,48,75,35.21
2014-2015,WAYNE,900701000,TRINITY LUTHERAN SCHOOLS,38,,,,
2014-2015,WAYNE,900702000,ST MARY'S ELEMENTARY SCHOOL,39,,,,
2014-2015,WEBSTER,910002000,RED CLOUD COMMUNITY SCHOOLS,256,105,45,150,58.59
2014-2015,WEBSTER,910074000,BLUE HILL PUBLIC SCHOOLS,335,62,29,91,27.16
2014-2015,WHEELER,920045000,WHEELER CENTRAL SCHOOLS,92,25,28,53,57.61
2014-2015,YORK,930012000,YORK PUBLIC SCHOOLS,1389,468,157,625,45
2014-2015,YORK,930083000,MC COOL JUNCTION PUBLIC SCHS,270,75,35,110,40.74
2014-2015,YORK,930096000,HEARTLAND COMMUNITY SCHOOLS,333,62,36,98,29.43
2014-2015,YORK,930701000,EMMANUEL LUTHERAN ELEM SCHOOL,145,40,14,54,37.24
2014-2015,YORK,930702000,ST JOSEPH'S ELEMENTARY SCHOOL,142,13,19,32,22.54
2014-2015,YORK,930703000,NEBRASKA EV LUTHERAN SCHOOLS,121,,,18,14.88
2013-2014,ADAMS,010003000,KENESAW PUBLIC SCHOOLS        ,243,,,45,18.52
2013-2014,ADAMS,010018000,HASTINGS PUBLIC SCHOOLS       ,3691,1702,463,2165,58.66
2013-2014,ADAMS,010090000,ADAMS CENTRAL PUBLIC SCHOOLS  ,863,115,44,159,18.42
2013-2014,ADAMS,010123000,SILVER LAKE PUBLIC SCHOOLS    ,237,59,31,90,37.97
2013-2014,ADAMS,010701000,CHRIST LUTHERAN ELEMENTARY SCH,46,,,12,26.09
2013-2014,ADAMS,010702000,HASTINGS CATHOLIC SCHOOLS     ,467,53,49,102,21.84
2013-2014,ADAMS,010705000,ZION LUTHERAN ELEMENTARY SCH  ,66,,,18,27.27
2013-2014,ANTELOPE,020009000,NELIGH-OAKDALE SCHOOLS        ,409,133,47,180,44.01
2013-2014,ANTELOPE,020018000,ELGIN PUBLIC SCHOOLS          ,189,68,31,99,52.38
2013-2014,ANTELOPE,020701000,ST BONIFACE ELEMENTARY SCHOOL ,59,14,10,24,40.68
2013-2014,ANTELOPE,020702000,POPE JOHN XXIII HIGH SCHOOL   ,72,12,15,27,37.5
2013-2014,ANTELOPE,022001000,NEBRASKA UNIFIED DISTRICT 1   ,488,142,101,243,49.8
2013-2014,ARTHUR,030500000,ARTHUR COUNTY SCHOOLS         ,97,,,,
2013-2014,BANNER,040001000,BANNER COUNTY PUBLIC SCHOOLS  ,144,74,16,90,62.5
2013-2014,BLAINE,050071000,SANDHILLS PUBLIC SCHOOLS      ,101,37,14,51,50.5
2013-2014,BOONE,060001000,BOONE CENTRAL SCHOOLS         ,588,136,80,216,36.73
2013-2014,BOONE,060006000,CEDAR RAPIDS PUBLIC SCHOOL,121,47,16,63,52.07
2013-2014,BOONE,060017000,ST EDWARD PUBLIC SCHOOLS      ,142,37,25,62,43.66
2013-2014,BOONE,060701000,ST MICHAEL'S ELEMENTARY SCHOOL,101,,,18,17.82
2013-2014,BOX BUTTE,070006000,ALLIANCE PUBLIC SCHOOLS       ,1586,646,168,814,51.32
2013-2014,BOX BUTTE,070010000,HEMINGFORD PUBLIC SCHOOLS     ,381,93,37,130,34.12
2013-2014,BOX BUTTE,070701000,ST AGNES ELEMENTARY SCHOOL    ,145,13,12,25,17.24
2013-2014,BOYD,080036000,LYNCH PUBLIC SCHOOLS          ,82,,,41,50
2013-2014,BOYD,080050000,WEST BOYD SCHOOL DISTRICT     ,257,83,36,119,46.3
2013-2014,BROWN,090010000,AINSWORTH COMMUNITY SCHOOLS   ,481,144,66,210,43.66
2013-2014,BUFFALO,100002000,GIBBON PUBLIC SCHOOLS         ,589,251,66,317,53.82
2013-2014,BUFFALO,100007000,KEARNEY PUBLIC SCHOOLS        ,5354,1619,533,2152,40.19
2013-2014,BUFFALO,100009000,ELM CREEK PUBLIC SCHOOLS      ,345,64,37,101,29.28
2013-2014,BUFFALO,100019000,SHELTON PUBLIC SCHOOLS        ,286,90,34,124,43.36
2013-2014,BUFFALO,100069000,RAVENNA PUBLIC SCHOOLS        ,458,122,63,185,40.39
2013-2014,BUFFALO,100105000,PLEASANTON PUBLIC SCHOOLS     ,253,39,17,56,22.13
2013-2014,BUFFALO,100119000,AMHERST PUBLIC SCHOOLS        ,340,59,29,88,25.88
2013-2014,BUFFALO,100600000,KEARNEY WEST HIGH SCHOOL      ,112,,,,
2013-2014,BUFFALO,100701000,KEARNEY CATHOLIC SCHOOLS      ,339,,,26,7.67
2013-2014,BUFFALO,100702000,ZION LUTHERAN ELEMENTARY SCH  ,152,18,12,30,19.74
2013-2014,BUFFALO,100709000,FAITH CHRISTIAN SCH/KEARNEY   ,91,,,,
2013-2014,BURT,110001000,TEKAMAH-HERMAN COMMUNITY SCHS ,581,159,49,208,35.8
2013-2014,BURT,110014000,OAKLAND CRAIG PUBLIC SCHOOLS  ,455,104,62,166,36.48
2013-2014,BURT,110020000,LYONS-DECATUR NORTHEAST SCHS  ,246,75,35,110,44.72
2013-2014,BUTLER,120056000,DAVID CITY PUBLIC SCHOOLS     ,675,205,95,300,44.44
2013-2014,BUTLER,120502000,EAST BUTLER PUBLIC SCHOOLS    ,340,56,28,84,24.71
2013-2014,BUTLER,120701000,AQUINAS ST MARYS CATHOLIC SCHS,539,31,48,79,14.66
2013-2014,CASS,130001000,PLATTSMOUTH COMMUNITY SCHOOLS ,1805,664,202,866,47.98
2013-2014,CASS,130022000,WEEPING WATER PUBLIC SCHOOLS  ,356,95,43,138,38.76
2013-2014,CASS,130032000,LOUISVILLE PUBLIC SCHOOLS     ,580,78,39,117,20.17
2013-2014,CASS,130056000,CONESTOGA PUBLIC SCHOOLS      ,642,122,43,165,25.7
2013-2014,CASS,130097000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,414,74,36,110,26.57
2013-2014,CASS,130701000,ST JOHN THE BAPTIST ELEMENTARY,160,11,10,21,13.13
2013-2014,CEDAR,140008000,HARTINGTON PUBLIC SCHOOLS     ,254,49,26,75,29.53
2013-2014,CEDAR,140045000,RANDOLPH PUBLIC SCHOOLS       ,236,60,26,86,36.44
2013-2014,CEDAR,140054000,LAUREL-CONCORD PUBLIC SCHOOLS ,331,72,47,119,35.95
2013-2014,CEDAR,140101000,WYNOT PUBLIC SCHOOLS          ,164,44,27,71,43.29
2013-2014,CEDAR,140541000,COLERIDGE COMMUNITY SCHOOLS   ,116,44,19,63,54.31
2013-2014,CEDAR,140701000,HOLY TRINITY ELEMENTARY SCHOOL,227,17,26,43,18.94
2013-2014,CEDAR,140702000,CEDAR CATHOLIC HIGH SCHOOL    ,194,20,30,50,25.77
2013-2014,CEDAR,140703000,WEST CATHOLIC ELEMENTARY SCH  ,22,,,,
2013-2014,CEDAR,140704000,EAST CATHOLIC ELEMENTARY SCH  ,47,,,15,31.91
2013-2014,CHASE,150010000,CHASE COUNTY SCHOOLS          ,611,154,42,196,32.08
2013-2014,CHASE,150536000,WAUNETA-PALISADE PUBLIC SCHS  ,221,102,33,135,61.09
2013-2014,CHERRY,160006000,VALENTINE COMMUNITY SCHOOLS   ,628,184,78,262,41.72
2013-2014,CHERRY,160030000,CODY-KILGORE PUBLIC SCHS      ,140,70,26,96,68.57
2013-2014,CHERRY,160701000,ZION LUTHERAN ELEMENTARY SCH  ,29,,,,
2013-2014,CHEYENNE,170001000,SIDNEY PUBLIC SCHOOLS         ,1323,338,137,475,35.9
2013-2014,CHEYENNE,170003000,LEYTON PUBLIC SCHOOLS         ,216,58,27,85,39.35
2013-2014,CHEYENNE,170009000,POTTER-DIX PUBLIC SCHOOLS     ,196,55,25,80,40.82
2013-2014,CLAY,180002000,SUTTON PUBLIC SCHOOLS         ,409,100,30,130,31.78
2013-2014,CLAY,180011000,HARVARD PUBLIC SCHOOLS        ,330,197,22,219,66.36
2013-2014,CLAY,180701000,SUTTON CHRISTIAN SCHOOL       ,22,,,,
2013-2014,COLFAX,190039000,LEIGH COMMUNITY SCHOOLS       ,159,34,19,53,33.33
2013-2014,COLFAX,190058000,CLARKSON PUBLIC SCHOOLS       ,194,29,26,55,28.35
2013-2014,COLFAX,190070000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,240,53,25,78,32.5
2013-2014,COLFAX,190123000,SCHUYLER COMMUNITY SCHOOLS    ,1948,1189,248,1437,73.77
2013-2014,COLFAX,190703000,ST JOHN NEUMANN ELEMENTARY SCH,27,,,,
2013-2014,COLFAX,190704000,HOWELLS COMMUNITY CATHOLIC SCH,57,,,,
2013-2014,CUMING,200001000,WEST POINT PUBLIC SCHOOLS     ,841,347,105,452,53.75
2013-2014,CUMING,200020000,BANCROFT-ROSALIE COMM SCHOOLS ,263,72,21,93,35.36
2013-2014,CUMING,200030000,WISNER-PILGER PUBLIC SCHOOLS  ,500,159,57,216,43.2
2013-2014,CUMING,200703000,ST PAUL LUTHERAN ELEM SCHOOL  ,106,,,12,11.32
2013-2014,CUMING,200706000,ZION ST JOHN LUTHERAN SCHOOL  ,7,,,,
2013-2014,CUMING,200710000,GUARDIAN ANGELS CENTRAL CATHOLIC SCHOOLS,355,12,17,29,8.17
2013-2014,CUSTER,210015000,ANSELMO-MERNA PUBLIC SCHOOLS  ,241,70,18,88,36.51
2013-2014,CUSTER,210025000,BROKEN BOW PUBLIC SCHOOLS     ,869,289,98,387,44.53
2013-2014,CUSTER,210044000,ANSLEY PUBLIC SCHOOLS         ,168,55,25,80,47.62
2013-2014,CUSTER,210084000,SARGENT PUBLIC SCHOOLS        ,177,42,21,63,35.59
2013-2014,CUSTER,210089000,ARNOLD PUBLIC SCHOOLS         ,121,24,16,40,33.06
2013-2014,CUSTER,210180000,CALLAWAY PUBLIC SCHOOLS       ,193,43,20,63,32.64
2013-2014,DAKOTA,220011000,SO SIOUX CITY COMMUNITY SCHS  ,3915,2137,467,2604,66.51
2013-2014,DAKOTA,220031000,HOMER COMMUNITY SCHOOLS       ,431,132,47,179,41.53
2013-2014,DAKOTA,220701000,ST MICHAEL ELEMENTARY SCHOOL  ,161,82,33,115,71.43
2013-2014,DAWES,230002000,CHADRON PUBLIC SCHOOLS        ,888,267,95,362,40.77
2013-2014,DAWES,230071000,CRAWFORD PUBLIC SCHOOLS       ,238,92,37,129,54.2
2013-2014,DAWES,230601000,PINE RIDGE JOB CORPS          ,48,,,,
2013-2014,DAWES,230701000,PRAIRIE VIEW S D A SCHOOL     ,3,,,,
2013-2014,DAWES,230704000,TRUNK BUTTE CHRISTIAN SCHOOL,16,,,,
2013-2014,DAWSON,240001000,LEXINGTON PUBLIC SCHOOLS      ,2942,1863,414,2277,77.4
2013-2014,DAWSON,240004000,OVERTON PUBLIC SCHOOLS        ,319,95,68,163,51.1
2013-2014,DAWSON,240011000,COZAD COMMUNITY SCHOOLS            ,933,355,126,481,51.55
2013-2014,DAWSON,240020000,GOTHENBURG PUBLIC SCHOOLS     ,949,226,76,302,31.82
2013-2014,DAWSON,240101000,SUMNER-EDDYVILLE-MILLER SCHS  ,205,95,32,127,61.95
2013-2014,DEUEL,250025000,CREEK VALLEY SCHOOLS          ,260,74,34,108,41.54
2013-2014,DEUEL,250095000,SOUTH PLATTE PUBLIC SCHOOLS   ,177,80,25,105,59.32
2013-2014,DIXON,260001000,PONCA PUBLIC SCHOOLS          ,452,83,57,140,30.97
2013-2014,DIXON,260024000,NEWCASTLE PUBLIC SCHOOLS      ,77,21,20,41,53.25
2013-2014,DIXON,260070000,ALLEN CONSOLIDATED SCHOOLS    ,219,,,23,10.5
2013-2014,DIXON,260561000,EMERSON-HUBBARD PUBLIC SCHOOLS,269,93,26,119,44.24
2013-2014,DODGE,270001000,FREMONT PUBLIC SCHOOLS        ,4587,2074,521,2595,56.57
2013-2014,DODGE,270062000,SCRIBNER-SNYDER COMMUNITY SCHS,228,82,37,119,52.19
2013-2014,DODGE,270594000,LOGAN VIEW PUBLIC SCHOOLS     ,527,166,64,230,43.64
2013-2014,DODGE,270595000,NORTH BEND CENTRAL PUBLIC SCHS,592,140,69,209,35.3
2013-2014,DODGE,270701000,ARCHBISHOP BERGAN SCHOOL    ,170,10,10,20,11.76
2013-2014,DODGE,270702000,TRINITY LUTHERAN ELEM SCHOOLS ,209,,,22,10.53
2013-2014,DODGE,270704000,ST WENCESLAUS ELEM SCHOOL     ,43,,,,
2013-2014,DODGE,270706000,ARCHBISHOP BERGAN ELEMENTARY  ,200,22,15,37,18.5
2013-2014,DOUGLAS,280001000,OMAHA PUBLIC SCHOOLS          ,51069,32682,4790,37472,73.38
2013-2014,DOUGLAS,280010000,ELKHORN PUBLIC SCHOOLS        ,7000,328,193,521,7.44
2013-2014,DOUGLAS,280015000,DOUGLAS CO WEST COMMUNITY SCHS,792,224,58,282,35.61
2013-2014,DOUGLAS,280017000,MILLARD PUBLIC SCHOOLS        ,23549,3108,1296,4404,18.7
2013-2014,DOUGLAS,280054000,RALSTON PUBLIC SCHOOLS        ,3111,1261,405,1666,53.55
2013-2014,DOUGLAS,280059000,BENNINGTON PUBLIC SCHOOLS     ,1774,113,62,175,9.86
2013-2014,DOUGLAS,280066000,WESTSIDE COMMUNITY SCHOOLS    ,6173,1416,503,1919,31.09
2013-2014,DOUGLAS,280602000,NE CORRECTIONAL YOUTH FACILITY,37,,,33,89.19
2013-2014,DOUGLAS,280702000,THE JESUIT ACADEMY,72,43,13,56,77.78
2013-2014,DOUGLAS,280703000,BOYS TOWN SCHOOLS             ,302,,,,
2013-2014,DOUGLAS,280706000,BROWNELL TALBOT SCHOOLS       ,474,,,,
2013-2014,DOUGLAS,280707000,PHOENIX ACADEMY DAY SCHOOL   ,58,,,,
2013-2014,DOUGLAS,280708000,ST STEPHEN THE MARTYR SCHOOL  ,819,,,11,1.34
2013-2014,DOUGLAS,280709000,ALL SAINTS CATHOLIC SCHOOL    ,160,107,13,120,75
2013-2014,DOUGLAS,280711000,CHILDREN'S ROOM               ,131,,,,
2013-2014,DOUGLAS,280712000,CHRIST THE KING CATHOLIC SCH  ,338,,,16,4.73
2013-2014,DOUGLAS,280713000,CREIGHTON PREPARATORY SCHOOL  ,1031,,,,
2013-2014,DOUGLAS,280716000,DUCHESNE ACADEMY              ,305,,,,
2013-2014,DOUGLAS,280718000,GETHSEMANE LUTHERAN ELEMENTARY,97,,,10,10.31
2013-2014,DOUGLAS,280719000,GOOD SHEPHERD ELEMENTARY SCH  ,91,,,,
2013-2014,DOUGLAS,280720000,HOLY CROSS CATHOLIC SCHOOL    ,349,52,16,68,19.48
2013-2014,DOUGLAS,280722000,HOLY NAME ELEMENTARY SCHOOL   ,171,75,31,106,61.99
2013-2014,DOUGLAS,280723000,ST PATRICK'S CATHOLIC SCHOOL  ,772,,,,
2013-2014,DOUGLAS,280725000,MADONNA SCHOOL                ,55,,,14,25.45
2013-2014,DOUGLAS,280726000,MARIAN HIGH SCHOOL            ,719,,,,
2013-2014,DOUGLAS,280727000,MARY OUR QUEEN ELEM SCHOOL    ,504,22,19,41,8.13
2013-2014,DOUGLAS,280728000,OMAHA MEMORIAL SCHOOL OF S D A,41,,,,
2013-2014,DOUGLAS,280729000,ST VINCENT DE PAUL ELEMENTARY ,870,,,21,2.41
2013-2014,DOUGLAS,280730000,MERCY HIGH SCHOOL             ,385,,,,
2013-2014,DOUGLAS,280731000,MONTESSORI EDUCATIONAL CNTRS  ,18,,,,
2013-2014,DOUGLAS,280732000,MT CALVARY LUTHERAN ELEM SCH  ,25,,,10,40
2013-2014,DOUGLAS,280733000,MT MICHAEL BENEDICTINE H S    ,232,,,,
2013-2014,DOUGLAS,280736000,OUR LADY OF LOURDES ELEM SCH  ,261,54,20,74,28.35
2013-2014,DOUGLAS,280737000,MONTESSORI LEARN CTR OF DUNDEE,30,,,,
2013-2014,DOUGLAS,280740000,RONCALLI CATHOLIC HIGH SCHOOL ,352,,,,
2013-2014,DOUGLAS,280741000,SACRED HEART ELEMENTARY SCHOOL,139,,,128,92.09
2013-2014,DOUGLAS,280744000,PRIMROSE SCHOOL OF LEGACY     ,60,,,,
2013-2014,DOUGLAS,280746000,ST BERNARD ELEMENTARY SCHOOL  ,184,,,,
2013-2014,DOUGLAS,280748000,ST CECILIA CATHEDRAL SCHOOL   ,285,30,15,45,15.79
2013-2014,DOUGLAS,280749000,SKUTT CATHOLIC HIGH SCHOOL    ,680,,,,
2013-2014,DOUGLAS,280751000,ST GERALD ELEMENTARY SCHOOL   ,415,,,44,10.6
2013-2014,DOUGLAS,280752000,ST JAMES-SETON ELEMENTARY SCH ,593,17,38,55,9.27
2013-2014,DOUGLAS,280753000,ST JOAN OF ARC ELEMENTARY SCH ,117,13,12,25,21.37
2013-2014,DOUGLAS,280754000,CONCORDIA LUTHERAN SCHOOLS OF OMAHA ,494,,,18,3.64
2013-2014,DOUGLAS,280755000,ST MARGARET MARY ELEM SCHOOL  ,526,,,15,2.85
2013-2014,DOUGLAS,280757000,ST PAUL LUTHERAN ELEM SCHOOL  ,51,,,32,62.75
2013-2014,DOUGLAS,280759000,STS PETER & PAUL ELEM SCHOOL  ,203,80,34,114,56.16
2013-2014,DOUGLAS,280760000,ST PHILIP NERI ELEM SCHOOL    ,164,45,21,66,40.24
2013-2014,DOUGLAS,280761000,ST PIUS X / ST LEO ELEMENTARY ,753,60,30,90,11.95
2013-2014,DOUGLAS,280763000,ST ROBERT BELLARMINE ELEM     ,606,,,20,3.3
2013-2014,DOUGLAS,280765000,ST THOMAS MORE ELEM SCHOOL    ,341,50,25,75,21.99
2013-2014,DOUGLAS,280766000,ALLELUIA! KINDERGARTEN AND PRESCHOOL,62,,,,
2013-2014,DOUGLAS,280767000,OMAHA CHRISTIAN ACADEMY       ,330,,,24,7.27
2013-2014,DOUGLAS,280768000,LEGACY PRIMARY SCHOOL,11,,,,
2013-2014,DOUGLAS,280776000,FRIEDEL JEWISH ACADEMY        ,46,,,,
2013-2014,DOUGLAS,280780000,LIFEGATE CHRISTIAN SCHOOL      ,321,,,,
2013-2014,DOUGLAS,280790000,MONTESSORI PARENT'S CO-OP     ,39,,,,
2013-2014,DOUGLAS,280791000,ST WENCESLAUS SCHOOL          ,885,,,19,2.15
2013-2014,DOUGLAS,280796000,OMAHA STREET SCHOOL           ,16,,,,
2013-2014,DUNDY,290117000,DUNDY CO STRATTON PUBLIC SCHS ,366,137,33,170,46.45
2013-2014,FILLMORE,300001000,EXETER-MILLIGAN PUBLIC SCHOOLS,188,21,13,34,18.09
2013-2014,FILLMORE,300025000,FILLMORE CENTRAL PUBLIC SCHS  ,577,139,71,210,36.4
2013-2014,FILLMORE,300054000,SHICKLEY PUBLIC SCHOOLS       ,140,,,15,10.71
2013-2014,FILLMORE,300600000,GENEVA NORTH SCHOOL           ,45,,,,
2013-2014,FILLMORE,300701000,GRACE LUTHERAN ELEMENTARY SCH ,21,,,11,52.38
2013-2014,FRANKLIN,310506000,FRANKLIN PUBLIC SCHOOLS       ,326,125,50,175,53.68
2013-2014,FRONTIER,320046000,MAYWOOD PUBLIC SCHOOLS        ,183,57,30,87,47.54
2013-2014,FRONTIER,320095000,EUSTIS-FARNAM PUBLIC SCHOOLS  ,203,61,21,82,40.39
2013-2014,FRONTIER,320125000,MEDICINE VALLEY PUBLIC SCHOOLS,195,53,19,72,36.92
2013-2014,FURNAS,330018000,ARAPAHOE PUBLIC SCHOOLS       ,323,111,33,144,44.58
2013-2014,FURNAS,330021000,CAMBRIDGE PUBLIC SCHOOLS      ,328,84,76,160,48.78
2013-2014,FURNAS,330540000,SOUTHERN VALLEY SCHOOLS       ,444,172,54,226,50.9
2013-2014,GAGE,340001000,SOUTHERN SCHOOL DIST 1        ,394,151,42,193,48.98
2013-2014,GAGE,340015000,BEATRICE PUBLIC SCHOOLS       ,2151,794,220,1014,47.14
2013-2014,GAGE,340034000,FREEMAN PUBLIC SCHOOLS        ,419,46,50,96,22.91
2013-2014,GAGE,340100000,DILLER-ODELL PUBLIC SCHOOLS   ,256,41,24,65,25.39
2013-2014,GAGE,340701000,ST JOSEPH ELEMENTARY SCHOOL   ,82,,,17,20.73
2013-2014,GAGE,340702000,ST PAUL'S LUTHERAN ELEM SCHOOL,142,,,16,11.27
2013-2014,GARDEN,350001000,GARDEN COUNTY SCHOOLS         ,239,99,24,123,51.46
2013-2014,GARFIELD,360100000,BURWELL PUBLIC SCHOOLS        ,358,74,47,121,33.8
2013-2014,GOSPER,370030000,ELWOOD PUBLIC SCHOOLS         ,232,72,33,105,45.26
2013-2014,GRANT,380011000,HYANNIS AREA SCHOOLS          ,157,49,34,83,52.87
2013-2014,GREELEY,390010000,GREELEY-WOLBACH PUBLIC SCHOOLS,191,60,27,87,45.55
2013-2014,GREELEY,390055000,SPALDING PUBLIC SCHOOLS       ,108,27,46,73,67.59
2013-2014,GREELEY,390501000,NORTH LOUP SCOTIA PUBLIC SCHS ,115,57,24,81,70.43
2013-2014,GREELEY,390702000,SPALDING ACADEMY              ,77,36,18,54,70.13
2013-2014,HALL,400002000,GRAND ISLAND PUBLIC SCHOOLS,9313,5239,1170,6409,68.82
2013-2014,HALL,400082000,NORTHWEST PUBLIC SCHOOLS      ,1496,320,143,463,30.95
2013-2014,HALL,400083000,WOOD RIVER RURAL SCHOOLS      ,553,196,64,260,47.02
2013-2014,HALL,400126000,DONIPHAN-TRUMBULL PUBLIC SCHS ,479,79,55,134,27.97
2013-2014,HALL,400701000,CENTRAL CATHOLIC SCHOOLS      ,320,,,,
2013-2014,HALL,400704000,TRINITY LUTHERAN ELEM SCHOOL  ,137,,,19,13.87
2013-2014,HALL,400705000,PLATTE VALLEY SDA ELEMENTARY SCHOOL  ,14,,,,
2013-2014,HALL,400707000,NEW HOPE CHRISTIAN ELEM SCHOOL,18,,,,
2013-2014,HALL,400708000,GRAND ISLAND CHRISTIAN SCHOOL ,40,,,,
2013-2014,HALL,400711000,HEARTLAND LUTHERAN HIGH SCHOOL,69,,,,
2013-2014,HAMILTON,410002000,GILTNER PUBLIC SCHOOLS        ,185,48,26,74,40
2013-2014,HAMILTON,410091000,HAMPTON PUBLIC SCHOOLS        ,180,25,31,56,31.11
2013-2014,HAMILTON,410504000,AURORA PUBLIC SCHOOLS         ,1217,285,132,417,34.26
2013-2014,HAMILTON,410701000,IMMANUEL LUTHERAN ELEM SCHOOL ,24,,,,
